episode,reward,length,collisions,actions
0,43.17589005257368,45,0,135
1,41.04026430771774,44,0,132
2,32.962556719240524,34,0,102
3,4.636826622114831,6,0,18
4,29.703890052574017,32,0,96
5,43.94740215133914,47,0,141
6,23.407001163950195,25,0,75
7,18.635208576822986,20,0,60
8,16.962556804421233,18,0,54
9,24.995819863306256,26,0,78
10,15.87965304534571,18,0,54
11,38.07965301553666,39,0,117
12,8.369644168549788,10,0,30
13,13.66248681624045,15,0,45
14,8.85745261505234,10,0,30
15,21.014068818444006,23,0,69
16,26.340334497040516,28,0,84
17,27.58477894146689,29,0,87
18,43.836291040228,48,0,144
19,6.962881072769203,8,0,24
20,9.637233800254878,11,0,33
21,11.418043574710559,13,0,39
22,3.129455038509241,4,0,12
23,27.12611227480444,28,0,84
24,27.92915319660716,31,0,93
25,31.07965301553695,32,0,96
26,43.87366783035149,47,0,141
27,11.673673086653864,13,0,39
28,2.8824436816499746,4,0,12
29,4.066358055927948,5,0,15
30,25.25944560813778,28,0,84
31,20.462486530331056,23,0,69
32,8.681691582326962,10,0,30
33,4.7765824348699795,6,0,18
34,19.242556722187036,21,0,63
35,23.2292233860234,26,0,78
36,11.384784197764976,13,0,39
37,32.12611227479606,33,0,99
38,11.079657210749712,12,0,36
39,28.61804208549605,31,0,93
40,41.079653015536664,42,0,126
41,19.146319684716058,21,0,63
42,17.22922342325564,18,0,54
43,39.129153196606616,43,0,129
44,40.029223385907024,42,0,126
45,7.995860156128643,9,0,27
46,11.598114431906232,13,0,39
47,9.079674837274561,10,0,30
48,34.12611227479594,35,0,105
49,22.429223386512287,24,0,72
50,36.07965301553666,37,0,111
51,20.175890055520366,21,0,63
52,16.595819887406723,18,0,54
53,8.591866390772012,10,0,30
54,26.607001163694623,28,0,84
55,24.995819863306256,26,0,78
56,29.75366783035182,32,0,96
57,8.036336186605604,9,0,27
58,18.68166783658916,20,0,60
59,27.79277894146423,30,0,90
60,8.635230392830119,10,0,30
61,19.529153197498594,22,0,66
62,7.726166445863365,9,0,27
63,40.062486529939946,42,0,126
64,27.03629104023512,28,0,84
65,21.615001164210614,23,0,69
66,21.568541904908624,23,0,69
67,22.642556719488756,24,0,72
68,47.229223385907034,48,0,144
69,21.451445609509655,23,0,69
70,49.12611227479592,50,0,150
71,23.0150011637859,25,0,75
72,12.962557729760633,15,0,45
73,15.658513324121337,17,0,51
74,3.966404599940063,5,0,15
75,3.966404599940063,5,0,15
76,12.995820516238071,14,0,42
77,6.6426898292272005,8,0,24
78,24.429223385929408,27,0,81
79,12.768542710952172,14,0,42
80,17.70389006679996,19,0,57
81,9.036310835216456,10,0,30
82,21.175890053865704,22,0,66
83,17.7463196879341,20,0,60
84,15.28073554634356,17,0,51
85,21.126112275995112,22,0,66
86,40.96255671924037,42,0,126
87,28.61804208549605,31,0,93
88,8.518174631523102,10,0,30
89,28.175890052577724,29,0,87
90,12.192779819330365,14,0,42
91,38.1758900525737,39,0,117
92,22.85144560839464,25,0,75
93,36.495890052573706,39,0,117
94,19.102957709174042,21,0,63
95,30.464778941462928,32,0,96
96,47.087001163684775,49,0,147
97,3.7041792070823596,5,0,15
98,20.740334498398543,22,0,66
99,16.76962438541758,19,0,57
